codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,departamento_origen,establecimiento_norm,establecimiento_nota,direccion_norm,direccion_nota,telefonos_list,telefono_norm,codigo_flag_valido,distrito_flag_valido,departamento_norm,municipio_norm,id_establecimiento_canon,llave_canonica
01-08-0312-46,01-604,GUATEMALA,MIXCO,COLEGIO DE INFORMÁTICA JUSTO RUFINO BAUTISTA,16 CALLE 9-18 ZONA 7 COLONIA SAN IGNACIO MIXCO,66717402,EMORA EMPERATRIZ CRUZ DE FUENTES,WILHEM ALEJANDRO BAUTISTA HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA|DOBLE|SIN JORNADA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,Guatemala,Colegio de Informática Justo Rufino Bautista,,16 CALLE 9 - 18 ZONA 7 COLONIA SAN IGNACIO MIXCO,,['+502 6671 7402'],+502 6671 7402,True,True,GUATEMALA,MIXCO,COLEGIO DE INFORMATICA JUSTO RUFINO BAUTISTA 16 CALLE 9 18 ZONA 7 COLONIA SAN IGNACIO MIXCO MIXCO,-7938211675581995044
00-01-0309-46,01-301,CIUDAD CAPITAL,ZONA 1,COLEGIO DE INNOVACIÓN TECNOLÓGICA EDUCATIVA (C.I.T.E.),13 CALLE 3-23,22510248,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,MYRNA GUDELIA BANTES GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA|DOBLE|SIN JORNADA,DIARIO(REGULAR),GUATEMALA NORTE,CiudadCapital,Colegio de Innovación Tecnológica Educativa,c.i.t.e.,13 CALLE 3 - 23,,['+502 2251 0248'],+502 2251 0248,True,True,CIUDAD CAPITAL,ZONA 1,COLEGIO DE INNOVACION TECNOLOGICA EDUCATIVA 13 CALLE 3 23 ZONA 1,820089593082115859
19-05-0052-46,19-010,ZACAPA,TECULUTAN,"COLEGIO DE INNOVACION Y APRENDIZAJE TECULUTÁN ""CIAT""",BARRIO SAN JOSÉ,36079668,OSCAR OVIDIO FRANCO PAZ,EVELYN ANTONIA CORDÓN GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ZACAPA,Zacapa,Colegio de Innovacion y Aprendizaje Teculután Ciat,,BARRIO SAN JOSÉ,,['+502 3607 9668'],+502 3607 9668,True,True,ZACAPA,TECULUTAN,COLEGIO DE INNOVACION Y APRENDIZAJE TECULUTAN CIAT BARRIO SAN JOSE TECULUTAN,-8864999252957488618
19-05-0051-46,19-010,ZACAPA,TECULUTAN,"COLEGIO DE INNOVACIÓN Y APRENDIZAJE TECULUTÁN ""CIAT""",BARRIO SAN JOSE TECULUTÁN,36079668,OSCAR OVIDIO FRANCO PAZ,EVELYN ANTONIA CORDÓN GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,Zacapa,Colegio de Innovación y Aprendizaje Teculután Ciat,,BARRIO SAN JOSE TECULUTÁN,,['+502 3607 9668'],+502 3607 9668,True,True,ZACAPA,TECULUTAN,COLEGIO DE INNOVACION Y APRENDIZAJE TECULUTAN CIAT BARRIO SAN JOSE TECULUTAN TECULUTAN,-7358751874108544535
01-10-0010-46,01-610,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO DE INTELIGENCIAS MULTIPLES,7A. AVENIDA 7-13 ZONA 1,66695040,LESBIA MARICELA COTZOJAY PATZAN,CÉSAR ARMANDO CABRERA GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA|DOBLE|VESPERTINA|SIN JORNADA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,Guatemala,Colegio Inteligencias Multiples,,7A. AVENIDA 7 - 13 ZONA 1,,['+502 6669 5040'],+502 6669 5040,True,True,GUATEMALA,SAN JUAN SACATEPEQUEZ,COLEGIO DE INTELIGENCIAS MULTIPLES 7A AVENIDA 7 13 ZONA 1 SAN JUAN SACATEPEQUEZ,-4804633780447381554
00-01-9709-46,01-403,CIUDAD CAPITAL,ZONA 1,COLEGIO DE INVESTIGACION CIENTIFICA CONJUNTA DE GUATEMALA,4A. AVENIDA 3-64,22382723,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,MARTA ARELY ESPAÑA SUCHINO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|MATUTINA,FIN DE SEMANA,GUATEMALA NORTE,CiudadCapital,Colegio de Investigacion Cientifica Conjunta de Guatemala,,4A. AVENIDA 3 - 64,,['+502 2238 2723'],+502 2238 2723,True,True,CIUDAD CAPITAL,ZONA 1,COLEGIO DE INVESTIGACION CIENTIFICA CONJUNTA DE GUATEMALA 4A AVENIDA 3 64 ZONA 1,-7931888577570869235
09-01-0281-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO DE INVESTIGACION CIENTIFICA INTEGRAL -CICI-,2DA. CALLE 2-06 ZONA 7,77682442,WILSON RANFERI SIGUENZA LOPEZ,JOSÉ FLORENCIO SAPÓN TAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,Quetzaltenango,Colegio de Investigacion Cientifica Integral -cici-,,2DA. CALLE 2 - 06 ZONA 7,,['+502 7768 2442'],+502 7768 2442,True,True,QUETZALTENANGO,QUETZALTENANGO,COLEGIO DE INVESTIGACION CIENTIFICA INTEGRAL CICI 2DA CALLE 2 06 ZONA 7 QUETZALTENANGO,3570099020701989215
13-01-0068-46,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVE. 10-00 ZONA 1,54142119,REYNALDO RECINOS CASTILLO,OSCAR FERNANDO MARTÍNEZ TELLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO,Huehuetenango,Colegio de la Salle,,10A AVE. 10 - 00 ZONA 1,,['+502 5414 2119'],+502 5414 2119,True,True,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE 10A AVE 10 00 ZONA 1 HUEHUETENANGO,4110748510026157523
13-01-0420-46,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE MÚSICA FREDERICK CHOPIN,ZACULEU CENTRAL ZONA 9,33518150,CLARA ARMIDA MORALES CASTILLO,CLAUDIA DARINKA LÓPEZ GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO,Huehuetenango,Colegio de Música Frederick Chopin,,ZACULEU CENTRAL ZONA 9,,['+502 3351 8150'],+502 3351 8150,True,True,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE MUSICA FREDERICK CHOPIN ZACULEU CENTRAL ZONA 9 HUEHUETENANGO,-7331488809775890015
01-08-9356-46,01-604,GUATEMALA,MIXCO,"COLEGIO DE SEÑORITAS ""EL SAGRADO CORAZON EL NARANJO""","BOULEVARD GRAN VIA NORTE 3-400, EL NARANJO, ZONA 4 MIXCO",24185656,EMORA EMPERATRIZ CRUZ DE FUENTES,FRANCESCA PIERRI GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,Guatemala,Colegio de Señoritas el Sagrado Corazon el Naranjo,,"BOULEVARD GRAN VIA NORTE 3 - 400, EL NARANJO, ZONA 4 MIXCO",,['+502 2418 5656'],+502 2418 5656,True,True,GUATEMALA,MIXCO,COLEGIO DE SENORITAS EL SAGRADO CORAZON EL NARANJO BOULEVARD GRAN VIA NORTE 3 400 EL NARANJO ZONA 4 MIXCO MIXCO,-5428793297530231390
00-02-0091-46,01-301,CIUDAD CAPITAL,ZONA 2,COLEGIO DE SEÑORITAS SANTA INÉS,7A. AVENIDA 7-71,22541047,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,CAROLINA BEATRIZ TURCIOS MALDONADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,CiudadCapital,Colegio de Señoritas Santa Inés,,7A. AVENIDA 7 - 71,,['+502 2254 1047'],+502 2254 1047,True,True,CIUDAD CAPITAL,ZONA 2,COLEGIO DE SENORITAS SANTA INES 7A AVENIDA 7 71 ZONA 2,8035931781831505682
01-08-7275-46,01-604,GUATEMALA,MIXCO,COLEGIO DECROLY AMERICANO,"11 CALLE 6-47 FINCA EL NARANJO, ZONA 4",23802380,EMORA EMPERATRIZ CRUZ DE FUENTES,ANDREA ELVIRA GRANADOS TELLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,Guatemala,Colegio Decroly Americano,,"11 CALLE 6 - 47 FINCA EL NARANJO, ZONA 4",,['+502 2380 2380'],+502 2380 2380,True,True,GUATEMALA,MIXCO,COLEGIO DECROLY AMERICANO 11 CALLE 6 47 FINCA EL NARANJO ZONA 4 MIXCO,2379112906822699447
04-01-0287-46,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE,41386224,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,ANA LIDIA BATZ XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA,A DISTANCIA,CHIMALTENANGO,Chimaltenango,Colegio del Futuro,,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE,,['+502 4138 6224'],+502 4138 6224,True,True,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO KM 2 5 CARRETERA A SAN MARTIN JILOTEPEQUE CHIMALTENANGO,-7032127350665895442
21-03-0042-46,21-011,JALAPA,SAN LUIS JILOTEPEQUE,"COLEGIO DEL NIVEL MEDIO ""SUPERACIÓN""",BARRIO LOS IZOTES,30441503,ALBA LUZ CRISTINA AGUSTIN MANUEL,ISMAÉL HUMBERTO JUÁREZ LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA|MATUTINA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),JALAPA,Jalapa,Colegio del Nivel Medio Superación,,BARRIO LOS IZOTES,,['+502 3044 1503'],+502 3044 1503,True,True,JALAPA,SAN LUIS JILOTEPEQUE,COLEGIO DEL NIVEL MEDIO SUPERACION BARRIO LOS IZOTES SAN LUIS JILOTEPEQUE,-2084504101480457959
21-03-0029-46,21-011,JALAPA,SAN LUIS JILOTEPEQUE,"COLEGIO DEL NIVEL MEDIO ""SUPERACION""",BARRRIO LOS IZOTES,43521954,ALBA LUZ CRISTINA AGUSTIN MANUEL,ISMAÉL HUMBERTO JUÁREZ LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,Jalapa,Colegio del Nivel Medio Superacion,,BARRRIO LOS IZOTES,,['+502 4352 1954'],+502 4352 1954,True,True,JALAPA,SAN LUIS JILOTEPEQUE,COLEGIO DEL NIVEL MEDIO SUPERACION BARRRIO LOS IZOTES SAN LUIS JILOTEPEQUE,-569701066007448065
01-16-8485-46,01-625,GUATEMALA,VILLA CANALES,COLEGIO DESARROLLO DEL POTENCIAL INTELECTUAL VILLAGE,FINCA LABOR DEL ROSARIO KM. 25.5 CARRETERA AL SALVADOR,66436300,BRYAN ONELL GAITAN RODRIGUEZ,JULIA VERÓNICA PELLECER RODRÍGUEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,Guatemala,Colegio Desarrollo del Potencial Intelectual Village,,FINCA LABOR DEL ROSARIO KM. 25.5 CARRETERA AL SALVADOR,,['+502 6643 6300'],+502 6643 6300,True,True,GUATEMALA,VILLA CANALES,COLEGIO DESARROLLO DEL POTENCIAL INTELECTUAL VILLAGE FINCA LABOR DEL ROSARIO KM 25 5 CARRETERA AL SALVADOR VILLA CANALES,5952404107195975526
12-07-0207-46,12-074,SAN MARCOS,TACANA,"COLEGIO ""DIOS CON NOSOTROS""",CABECERA MUNICIPAL,46532388,ORLANDO ABEL ZUNUN VELASQUEZ,NELVIA NADAHI PEREZ SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,SanMarcos,Colegio Dios con Nosotros,,CABECERA MUNICIPAL,,['+502 4653 2388'],+502 4653 2388,True,True,SAN MARCOS,TACANA,COLEGIO DIOS CON NOSOTROS CABECERA MUNICIPAL TACANA,-7738878344837478796
01-02-9033-46,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO DISCOVERY,KM. 14.5 CARRETERA A EL SALVADOR,66442828,JULIA ENECON ROCA MORAN,SIGRID ANNEMARIE MAUL LEININGER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,Guatemala,Colegio Discovery,,KM. 14.5 CARRETERA A EL SALVADOR,,['+502 6644 2828'],+502 6644 2828,True,True,GUATEMALA,SANTA CATARINA PINULA,COLEGIO DISCOVERY KM 14 5 CARRETERA A EL SALVADOR SANTA CATARINA PINULA,-9152583890903573852
14-20-0145-46,14-034,QUICHE,IXCAN,COLEGIO DIVERSIFICADO MAYALAND,ALDEA MAYALÁN,40909816,ANTONIO CALIXTO IXCOTAYAC LUX,CAMILO RAMIREZ MATIAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ NORTE,Quiche,Colegio Diversificado Mayaland,,ALDEA MAYALÁN,,['+502 4090 9816'],+502 4090 9816,True,True,QUICHE,IXCAN,COLEGIO DIVERSIFICADO MAYALAND ALDEA MAYALAN IXCAN,-6777478560962000539
03-01-0253-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO DR. JUAN JOSE AREVALO BERMEJO,BARRIO SAN LUQUITAS NO. 29 03/01/2023,78429153,ZOILA ESTHELA JONFE OROZCO,HILTON SOEL PÉREZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),SACATEPÉQUEZ,Sacatepequez,Colegio Dr. Juan Jose Arevalo Bermejo,,BARRIO SAN LUQUITAS NO. 29 03/01/2023,,['+502 7842 9153'],+502 7842 9153,True,True,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO DR JUAN JOSE AREVALO BERMEJO BARRIO SAN LUQUITAS NO 29 03 01 2023 ANTIGUA GUATEMALA,-3665897033852544794
03-01-0199-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO DR. JUAN JOSE AREVALO BERMEJO,BARRIO SAN LUQUITAS NO. 29,78429152,ZOILA ESTHELA JONFE OROZCO,HILTON SOEL PÉREZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,Sacatepequez,Colegio Dr. Juan Jose Arevalo Bermejo,,BARRIO SAN LUQUITAS NO. 29,,['+502 7842 9152'],+502 7842 9152,True,True,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO DR JUAN JOSE AREVALO BERMEJO BARRIO SAN LUQUITAS NO 29 ANTIGUA GUATEMALA,4411179040404986660
09-01-0364-46,09-036,QUETZALTENANGO,QUETZALTENANGO,COLEGIO DR. RODOLFO ROBLES,"21 AVENIDA 8-10 ZONA 3,",77905300,OBDULIO ROLANDO RUIZ ALVA,SUSY CANDELARIA MONTERROSO MARTINI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,Quetzaltenango,Colegio Dr. Rodolfo Robles,,"21 AVENIDA 8 - 10 ZONA 3,",,['+502 7790 5300'],+502 7790 5300,True,True,QUETZALTENANGO,QUETZALTENANGO,COLEGIO DR RODOLFO ROBLES 21 AVENIDA 8 10 ZONA 3 QUETZALTENANGO,8028758772426678153
09-01-0363-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ECO SCHOOL Q´ANILL,"CANTÓN CHICHIGUITÁN, SECTOR 2 BUENA VISTA ZONA 5",79268245,WILSON RANFERI SIGUENZA LOPEZ,EDNA PATRICIA GONZÁLEZ JUÁREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,Quetzaltenango,Colegio Eco School Q´anill,,"CANTÓN CHICHIGUITÁN, SECTOR 2 BUENA VISTA ZONA 5",,['+502 7926 8245'],+502 7926 8245,True,True,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ECO SCHOOL Q ANILL CANTON CHICHIGUITAN SECTOR 2 BUENA VISTA ZONA 5 QUETZALTENANGO,-946213936587094442
09-01-0494-46,09-036,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO ECOLÓGICO ""SEMILLA DE MOSTAZA""",VILLA JARDÍN DE DIOS SUBIDA AL BAÚL ZONA 5,41649264,OBDULIO ROLANDO RUIZ ALVA,CARLOS JACOBS CALDERÓN DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,Quetzaltenango,Colegio Ecológico Semilla de Mostaza,,VILLA JARDÍN DE DIOS SUBIDA AL BAÚL ZONA 5,,['+502 4164 9264'],+502 4164 9264,True,True,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ECOLOGICO SEMILLA DE MOSTAZA VILLA JARDIN DE DIOS SUBIDA AL BAUL ZONA 5 QUETZALTENANGO,7168676352503762287
00-15-0020-46,01-314,CIUDAD CAPITAL,ZONA 15,COLEGIO EDUCACENTER,1A. CALLE 23-21 VISTA HERMOSA II,22112205,PLINIO IVAN HERNANDEZ,ANA SILVIA SOLIS GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,CiudadCapital,Colegio Educacenter,,1A. CALLE 23 - 21 VISTA HERMOSA II,,['+502 2211 2205'],+502 2211 2205,True,True,CIUDAD CAPITAL,ZONA 15,COLEGIO EDUCACENTER 1A CALLE 23 21 VISTA HERMOSA II ZONA 15,5545868346672726643
00-11-0008-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO EDUCACION EN LINEA,8A. AVENIDA 21-83,30193053,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARMEN MERCEDES ARCHILA SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA,A DISTANCIA,GUATEMALA SUR,CiudadCapital,Colegio Educacion en Linea,,8A. AVENIDA 21 - 83,,['+502 3019 3053'],+502 3019 3053,True,True,CIUDAD CAPITAL,ZONA 11,COLEGIO EDUCACION EN LINEA 8A AVENIDA 21 83 ZONA 11,2787777442669970861
02-01-0073-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO EDUCARE,BARRIO EL PROVENIR --,77648671,CARLA MARLENY ALDANA RODAS,HERLINDA EUNICE MORALES OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,ElProgreso,Colegio Educare,,BARRIO EL PROVENIR - -,,['+502 7764 8671'],+502 7764 8671,True,True,EL PROGRESO,GUASTATOYA,COLEGIO EDUCARE BARRIO EL PROVENIR GUASTATOYA,1790487175626426470
00-09-0009-46,01-505,CIUDAD CAPITAL,ZONA 9,COLEGIO EDUCATIVO AMERICANO,5A. AVENIDA 13-18,23612765,MARIA TERESA MILIAN AVILES,JORGE MARIO BOCALETTI GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,CiudadCapital,Colegio Educativo Americano,,5A. AVENIDA 13 - 18,,['+502 2361 2765'],+502 2361 2765,True,True,CIUDAD CAPITAL,ZONA 9,COLEGIO EDUCATIVO AMERICANO 5A AVENIDA 13 18 ZONA 9,-1448593731766879298
01-14-0181-46,01-641,GUATEMALA,AMATITLAN,COLEGIO EDUCATIVO DE DESARROLLO INFORMATICO Y CIENTIFICO DE AMATITLAN,"CALLE C, LOTE 129, COLONIA LUPITA",66333117,MILTON ALONSO ALVAREZ FUENTES,CARLOS ENRIQUE CHARRO LIMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA|MATUTINA|VESPERTINA|DOBLE,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA SUR,Guatemala,Colegio Educativo de Desarrollo Informatico y Cientifico de Amatitlan,,"CALLE C, LOTE 129, COLONIA LUPITA",,['+502 6633 3117'],+502 6633 3117,True,True,GUATEMALA,AMATITLAN,COLEGIO EDUCATIVO DE DESARROLLO INFORMATICO Y CIENTIFICO DE AMATITLAN CALLE C LOTE 129 COLONIA LUPITA AMATITLAN,-3951825794078927916
17-14-0080-46,17-013,PETEN,EL CHAL,COLEGIO EDUCATIVO DIVERSIFICADO LAS FLORES -CEDIF-,COOPERATIVA LAS FLORES,56984314,BRAULIO AMILCAR CHAN TESUCUN,ELVIN ALEXANDER LÓPEZ INTERIANO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA,FIN DE SEMANA,PETÉN,Peten,Colegio Educativo Diversificado las Flores -cedif-,,COOPERATIVA LAS FLORES,,['+502 5698 4314'],+502 5698 4314,True,True,PETEN,EL CHAL,COLEGIO EDUCATIVO DIVERSIFICADO LAS FLORES CEDIF COOPERATIVA LAS FLORES EL CHAL,8000860150533393962
00-19-0077-46,01-620,CIUDAD CAPITAL,ZONA 19,"COLEGIO EDUCATIVO ""LICDA. KIMBERLY MAZARIEGOS ENRÍQUEZ NO. 1""",8VA. CALLE 11-25 Z. 19 COL. LA FLORIDA,24378357,RONALD MAURICIO MORALES VIVAR,JUAN ENRIQUE MARTÍNEZ SOLANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,CiudadCapital,Colegio Educativo Licda. Kimberly Mazariegos Enríquez No. 1,,8VA. CALLE 11 - 25 ZONA. 19 COL. LA FLORIDA,,['+502 2437 8357'],+502 2437 8357,True,True,CIUDAD CAPITAL,ZONA 19,COLEGIO EDUCATIVO LICDA KIMBERLY MAZARIEGOS ENRIQUEZ NO 1 8VA CALLE 11 25 ZONA 19 COL LA FLORIDA ZONA 19,4066813191656384150
00-19-0081-46,01-620,CIUDAD CAPITAL,ZONA 19,"COLEGIO EDUCATIVO "" LICDA. KIMBERLY MAZARIEGOS ENRÍQUEZ NO. 2""",8VA. CALLE 11-22 Z. 19 COL. LA FLORIDA,24378357,RONALD MAURICIO MORALES VIVAR,ANNY VICTORIA PERDOMO VILLATORO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,CiudadCapital,Colegio Educativo Licda. Kimberly Mazariegos Enríquez No. 2,,8VA. CALLE 11 - 22 ZONA. 19 COL. LA FLORIDA,,['+502 2437 8357'],+502 2437 8357,True,True,CIUDAD CAPITAL,ZONA 19,COLEGIO EDUCATIVO LICDA KIMBERLY MAZARIEGOS ENRIQUEZ NO 2 8VA CALLE 11 22 ZONA 19 COL LA FLORIDA ZONA 19,4272943001742913279
00-19-0085-46,01-620,CIUDAD CAPITAL,ZONA 19,"COLEGIO EDUCATIVO ""LICDA. KIMBERLY MAZARIEGOS ENRIQUEZ NO. 3""",10 AVENIDA 2-79 COLONIA LA FLORIDA ZONA 19,24378357,RONALD MAURICIO MORALES VIVAR,NORMA VERÓNICA GIL VALLECILLOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,CiudadCapital,Colegio Educativo Licda. Kimberly Mazariegos Enriquez No. 3,,10 AVENIDA 2 - 79 COLONIA LA FLORIDA ZONA 19,,['+502 2437 8357'],+502 2437 8357,True,True,CIUDAD CAPITAL,ZONA 19,COLEGIO EDUCATIVO LICDA KIMBERLY MAZARIEGOS ENRIQUEZ NO 3 10 AVENIDA 2 79 COLONIA LA FLORIDA ZONA 19 ZONA 19,7288386945293382045
09-20-0131-46,09-031,QUETZALTENANGO,COATEPEQUE,"COLEGIO EDUCATIVO MIXTO ÁNGEL DE JEHOVÁ ""CEMAJ""",ALDEA SAN RAFAEL PACAYÁ NO. 2,37714464,YOMAR EFRAIN FLORES BARBERENA,DAYRIN MAYRODY BORRAYES SOPÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA|DOBLE,SEMIPRESENCIAL (UN DÍA A LA SEMANA),QUETZALTENANGO,Quetzaltenango,Colegio Educativo Mixto Ángel de Jehová Cemaj,,ALDEA SAN RAFAEL PACAYÁ NO. 2,,['+502 3771 4464'],+502 3771 4464,True,True,QUETZALTENANGO,COATEPEQUE,COLEGIO EDUCATIVO MIXTO ANGEL DE JEHOVA CEMAJ ALDEA SAN RAFAEL PACAYA NO 2 COATEPEQUE,1015713723485321544
12-30-0069-46,12-107,SAN MARCOS,LA BLANCA,"""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""",PARCELAMIENTO CHIQUIRINES,37714464,JUAN JOSE TOBAR TEBALAN,BETY PATRICIA OXLAJ PÉREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA|DOBLE|SIN JORNADA,DIARIO(REGULAR),SAN MARCOS,SanMarcos,Colegio Educativo Mixto Luna Azul -cemla-,,PARCELAMIENTO CHIQUIRINES,,['+502 3771 4464'],+502 3771 4464,True,True,SAN MARCOS,LA BLANCA,COLEGIO EDUCATIVO MIXTO LUNA AZUL CEMLA PARCELAMIENTO CHIQUIRINES LA BLANCA,2036629590302757760
09-20-0151-46,09-028,QUETZALTENANGO,COATEPEQUE,COLEGIO EDUCATIVO PRIVADO DEL SUR,6A. CALLE 8-337 ZONA 1 BARRIO LAS CASAS,59553594,MANFIELD FRANCISCO CASTAÑON DE LEON,FLORIDALMA GONZÁLEZ PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO,Quetzaltenango,Colegio Educativo Privado del Sur,,6A. CALLE 8 - 337 ZONA 1 BARRIO LAS CASAS,,['+502 5955 3594'],+502 5955 3594,True,True,QUETZALTENANGO,COATEPEQUE,COLEGIO EDUCATIVO PRIVADO DEL SUR 6A CALLE 8 337 ZONA 1 BARRIO LAS CASAS COATEPEQUE,-3399600660845384510
